prop,zone,pepland,pepfish,pepcpue,lobland,lobfish,lobcpue,KrigedTourism,cold ,temperate,hot,upwell,endemic,lobhabitat
1,1,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
1,2,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
1,3,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
2,4,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
2,5,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
2,6,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
2,7,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
2,8,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
3,9,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
3,10,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
3,11,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
3,12,0.5,0.5,0.5,1,1,1,2,4,4,4,4,4,2
